date,rank,source,target,attention
2019-04-24,5,Asset_3,Asset_25,0.031406
2019-04-25,1,Asset_9,Asset_25,0.031584
2019-04-25,2,Asset_0,Asset_25,0.031584
2019-04-25,3,Asset_5,Asset_25,0.031584
2019-04-25,4,Asset_24,Asset_25,0.031584
2019-04-25,5,Asset_20,Asset_25,0.031584
2019-04-26,1,Asset_24,Asset_25,0.031771
2019-04-26,2,Asset_4,Asset_25,0.031771
2019-04-26,3,Asset_9,Asset_25,0.031771
2019-04-26,4,Asset_29,Asset_25,0.031771
2019-04-26,5,Asset_14,Asset_25,0.031771
2019-04-29,1,Asset_21,Asset_15,0.031378
2019-04-29,2,Asset_3,Asset_15,0.031378
2019-04-29,3,Asset_1,Asset_15,0.031378
2019-04-29,4,Asset_2,Asset_15,0.031378
2019-04-29,5,Asset_5,Asset_15,0.031378
2019-04-30,1,Asset_19,Asset_25,0.03136
2019-04-30,2,Asset_4,Asset_25,0.03136
2019-04-30,3,Asset_12,Asset_25,0.03136
2019-04-30,4,Asset_14,Asset_25,0.03136
2019-04-30,5,Asset_16,Asset_25,0.03136
2019-05-01,1,Asset_4,Asset_8,0.031424
2019-05-01,2,Asset_18,Asset_8,0.031424
2019-05-01,3,Asset_1,Asset_8,0.031424
2019-05-01,4,Asset_11,Asset_8,0.031424
2019-05-01,5,Asset_28,Asset_8,0.031424
2019-05-02,1,Asset_25,Asset_8,0.031472
2019-05-02,2,Asset_4,Asset_8,0.031472
2019-05-02,3,Asset_11,Asset_8,0.031472
2019-05-02,4,Asset_19,Asset_8,0.031472
2019-05-02,5,Asset_21,Asset_8,0.031472
2019-05-03,1,Asset_30,Asset_8,0.031573
2019-05-03,2,Asset_24,Asset_8,0.031573
2019-05-03,3,Asset_3,Asset_8,0.031573
2019-05-03,4,Asset_16,Asset_8,0.031573
2019-05-03,5,Asset_26,Asset_8,0.031573
2019-05-06,1,Asset_5,Asset_21,0.031486
2019-05-06,2,Asset_15,Asset_21,0.031486
2019-05-06,3,Asset_18,Asset_21,0.031486
2019-05-06,4,Asset_30,Asset_21,0.031486
2019-05-06,5,Asset_25,Asset_21,0.031486
2019-05-07,1,Asset_10,Asset_21,0.031397
2019-05-07,2,Asset_27,Asset_21,0.031397
2019-05-07,3,Asset_2,Asset_21,0.031397
2019-05-07,4,Asset_5,Asset_21,0.031397
2019-05-07,5,Asset_7,Asset_21,0.031397
2019-05-08,1,Asset_8,Asset_20,0.031478
2019-05-08,2,Asset_27,Asset_20,0.031478
2019-05-08,3,Asset_28,Asset_20,0.031478
2019-05-08,4,Asset_14,Asset_20,0.031478
2019-05-08,5,Asset_30,Asset_20,0.031478
2019-05-09,1,Asset_10,Asset_5,0.031391
2019-05-09,2,Asset_2,Asset_5,0.031391
2019-05-09,3,Asset_20,Asset_5,0.031391
2019-05-09,4,Asset_28,Asset_5,0.031391
